year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1369,322,86,3,20055,5273,999,6358,0,7425
2015,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2633,445,41,4,25261,10914,1460,3293,42,9552
2015,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12466,2463,203,6,167313,66714,5055,24137,123,71284
2015,1,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",100,22,3,0,1776,1207,0,188,0,381
2015,1,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",169,50,0,4,4175,2602,0,523,0,1050
2015,1,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",876,200,15,0,11993,3108,761,3394,21,4709
2015,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",397,87,1,1,4666,2481,8,625,0,1552
2015,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",862,225,53,1,11123,3067,1079,2639,0,4338
2015,1,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",112,21,1,0,1078,394,88,0,0,596
2015,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",930,183,20,3,8962,3633,693,1953,0,2683
2015,1,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",889,157,7,1,9667,3807,749,1214,61,3836
2015,1,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",510,110,6,0,5829,2217,577,1326,15,1694
2015,1,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",211,58,1,1,3275,1245,3,560,13,1454
2015,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",118,24,1,0,1268,490,0,123,0,655
2015,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4330,1002,87,17,56189,16768,2786,13782,202,22651
