"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"9",2015,1,"AA","American Airlines Inc.","ONT","Ontario, CA: Ontario International",112,21,1,0,1078,394,88,0,0,596
"14",2015,1,"AA","American Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",118,24,1,0,1268,490,0,123,0,655
"39",2015,1,"AA","American Airlines Inc.","RSW","Fort Myers, FL: Southwest Florida International",177,45,1,0,2268,825,141,513,0,789
"55",2015,1,"AA","American Airlines Inc.","STT","Charlotte Amalie, VI: Cyril E King",109,38,0,0,2266,1309,256,238,0,463
"61",2015,1,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",124,28,1,0,1084,608,14,77,0,385
"66",2015,1,"AA","American Airlines Inc.","PSP","Palm Springs, CA: Palm Springs International",119,24,1,1,936,409,22,118,0,387
"75",2015,1,"AA","American Airlines Inc.","DSM","Des Moines, IA: Des Moines International",58,15,2,0,665,135,3,49,0,478
"85",2015,1,"AS","Alaska Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",58,16,2,0,582,155,0,237,0,190
"89",2015,1,"AS","Alaska Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",31,13,0,0,627,162,0,465,0,0
"95",2015,1,"AS","Alaska Airlines Inc.","BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",80,17,2,0,1097,331,63,76,0,627
"98",2015,1,"AS","Alaska Airlines Inc.","KTN","Ketchikan, AK: Ketchikan International",186,32,2,6,1662,620,0,235,0,807
"105",2015,1,"AS","Alaska Airlines Inc.","ADK","Adak Island, AK: Adak",9,0,0,0,0,0,0,0,0,0
"115",2015,1,"AS","Alaska Airlines Inc.","BUR","Burbank, CA: Bob Hope",93,17,0,0,651,485,0,90,0,76
"122",2015,1,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",124,15,0,0,535,225,0,229,0,81
"123",2015,1,"AS","Alaska Airlines Inc.","GEG","Spokane, WA: Spokane International",145,31,0,0,1332,721,145,212,0,254
"125",2015,1,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",31,10,0,0,416,142,0,152,0,122
"139",2015,1,"AS","Alaska Airlines Inc.","CDV","Cordova, AK: Merle K Mudhole Smith",60,8,0,0,431,232,33,22,0,144
"146",2015,1,"B6","JetBlue Airways","LGB","Long Beach, CA: Long Beach Airport",645,81,10,0,4322,1119,7,391,98,2707
"154",2015,1,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",327,91,19,2,4384,1391,77,675,18,2223
"157",2015,1,"B6","JetBlue Airways","OAK","Oakland, CA: Metropolitan Oakland International",112,14,1,1,634,278,0,54,0,302
"160",2015,1,"B6","JetBlue Airways","IAD","Washington, DC: Washington Dulles International",169,40,11,0,2230,796,29,470,0,935
"161",2015,1,"B6","JetBlue Airways","ABQ","Albuquerque, NM: Albuquerque International Sunport",21,4,1,0,275,1,0,38,0,236
"170",2015,1,"B6","JetBlue Airways","ROC","Rochester, NY: Greater Rochester International",93,21,6,0,1323,304,352,363,0,304
"175",2015,1,"B6","JetBlue Airways","AUS","Austin, TX: Austin - Bergstrom International",189,39,4,1,2192,855,0,464,0,873
"179",2015,1,"B6","JetBlue Airways","HOU","Houston, TX: William P Hobby",66,15,3,0,880,343,90,360,0,87
"186",2015,1,"B6","JetBlue Airways","SJC","San Jose, CA: Norman Y. Mineta San Jose International",23,6,1,0,162,39,0,75,0,48
"193",2015,1,"B6","JetBlue Airways","RDU","Raleigh/Durham, NC: Raleigh-Durham International",211,40,12,0,2642,1102,179,604,0,757
"194",2015,1,"B6","JetBlue Airways","PDX","Portland, OR: Portland International",81,14,1,1,788,111,0,109,0,568
"196",2015,1,"B6","JetBlue Airways","DTW","Detroit, MI: Detroit Metro Wayne County",92,10,8,0,602,260,211,112,9,10
"208",2015,1,"DL","Delta Air Lines Inc.","ORD","Chicago, IL: Chicago O'Hare International",570,87,1,0,4306,1743,165,2033,0,365
"211",2015,1,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",622,88,6,2,4058,1024,409,1894,0,731
