"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"4999",2015,5,"EV","ExpressJet Airlines Inc.","TYR","Tyler, TX: Tyler Pounds Regional",95,24,8,1,1324,545,51,426,0,302
"2040",2015,2,"OO","SkyWest Airlines Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",56,34,11,0,2491,574,372,401,0,1144
"171",2015,1,"B6","JetBlue Airways","LGA","New York, NY: LaGuardia",589,234,26,3,14619,2077,109,8234,185,4014
"11412",2015,11,"AS","Alaska Airlines Inc.","SAN","San Diego, CA: San Diego International",428,50,1,7,3148,884,38,1237,15,974
"13193",2015,12,"OO","SkyWest Airlines Inc.","PLN","Pellston, MI: Pellston Regional Airport of Emmet County",62,10,1,1,668,140,37,55,0,436
"10869",2015,10,"MQ","Envoy Air","CMH","Columbus, OH: John Glenn Columbus International",366,54,2,0,3248,607,31,546,0,2064
"5322",2015,5,"MQ","Envoy Air","PNS","Pensacola, FL: Pensacola International",12,0,0,0,0,0,0,0,0,0
"454",2015,1,"EV","ExpressJet Airlines Inc.","GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",167,32,0,0,1658,996,0,339,0,323
"2889",2015,3,"F9","Frontier Airlines Inc.","MDT","Harrisburg, PA: Harrisburg International",23,3,0,0,117,111,0,6,0,0
"7716",2015,7,"OO","SkyWest Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",353,90,1,0,5457,2763,95,926,9,1664
"12361",2015,11,"WN","Southwest Airlines Co.","OMA","Omaha, NE: Eppley Airfield",464,65,2,1,3004,1141,77,264,0,1522
"10400",2015,10,"B6","JetBlue Airways","PSE","Ponce, PR: Mercedita",62,10,2,0,557,390,0,61,0,106
"6397",2015,6,"MQ","Envoy Air","ABI","Abilene, TX: Abilene Regional",206,48,1,1,2104,731,363,99,28,883
"12951",2015,12,"F9","Frontier Airlines Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",155,30,0,0,2298,1046,22,231,0,999
"9442",2015,9,"DL","Delta Air Lines Inc.","RAP","Rapid City, SD: Rapid City Regional",29,2,0,0,66,0,0,0,0,66
